NOTITLE;Question 9 - How long have you lived in the Streetcar East Extension project area?;NOTITLE;Question 11 - Which bike facility do you prefer?;Question 12 - Please leave any questions or comments here that we can answer in the future. (Optional);Question 6B - Beltline at Ladybird Plan View - Comments/Concerns;Question 6G - Irwin at Beltline Plan View - Comments/Concerns;Question 6C - Beltline at Ponce de Leon Plan View - Comments/Concerns;Question 7 - When thinking about improving transit for the Streetcar East Extension project, what concerns you most? (Select all that apply);Question 4 - Do you support establishing full closure of sections of existing streets from vehicular traffic, to prioritize pedestrian/bike/transit movement in any of the following in-street portions of the proposed route? Select any street sections  below where you would support prioritizing pedestrian/bike/transit movements, by closing access to vehicles.;Question 8 - Choose the categories that best describe you. (Select all that apply);Question 3 - Do you support the partial closure of existing streets from vehicular traffic, to prioritize pedestrian/bike/transit movement in any of the following in-street portions of the proposed route?  For example, between 7-9 a.m., 4-6 p.m. weekdays, or 7 p.m. to midnight on weekends. Select any street  sections below where you would support prioritizing pedestrian/bike/transit movements, by limiting vehicle use.;Question 6H - Auburn at Irwin Stop Extended Bike Couplet Plan View - Comments/Concerns;NOTITLE;Question 6F - Edgewood Avenue Cycle Track Plan View - Comments/Concerns;Question 6D - Beltline at Ralph McGill Plan View - Comments/Concerns;Question 6E - Edgewood Avenue Extended Bike Couplet Plan View - Comments/Concerns;Question 10 - Choose the statement that best describes your transit usage. ;Question 6A - Beltline at Highland Plan View - Comments/Concerns;Question 5A - Where do you think streetcar stops should be located? (Rank them in order of importance, 1 being most important);Question 5B - If other, please describe:;NOTITLE;NOTITLE
;morethanayear;;cycle-track;;;;;['Impact to pedestrian/cyclist experience on the BeltLine trail', 'Loss of trees/tree canopy'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];['Commuter', 'Employed'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];;;;;;sometimes;;{'Near places with the highest number of jobs': '2', 'Near places with the greatest potential for redevelopment': '5', 'Near places with the highest number of residents (apartments, condominiums)': '3', 'Near places with the highest number of destinations (shopping, restaurants, services)': '1', 'Near places with a high number of community facilities (parks, churches, recreational)': '4'};;[{'x': -84.37977641410683, 'y': 33.78414148636324, 'type': 'home'}, {'x': -84.36595767326209, 'y': 33.77244138942362, 'type': 'work'}, {'x': -84.37561362571579, 'y': 33.76841019323295, 'type': 'play'}, {'x': -84.36505645103311, 'y': 33.7566009077215, 'type': 'meet'}];
;morethanayear;;no-preference;;;;;['Loss of on-street parking', 'Construction  impacts (e.g., traffic, business access)'];['I do not support partial closures of existing streets to vehicular traffic'];['Employed'];['Edgewood Avenue, between Jackson Street and Boulevard SE'];;;;;;sometimes;;{'Near places with the highest number of jobs': '3', 'Near places with the greatest potential for redevelopment': '5', 'Near places with the highest number of residents (apartments, condominiums)': '1', 'Near places with the highest number of destinations (shopping, restaurants, services)': '2', 'Near places with a high number of community facilities (parks, churches, recreational)': '4'};;[{'x': -84.36763338334417, 'y': 33.771276977371}, {'x': -84.367418806623, 'y': 33.77120562944492}];
;donotlive;"My biggest concern is that if Atlanta doesn't remove ""mandatory-minimum"" parking requirements for new developments, that any Street Car project will be doomed to compete with cheap parking, and get shut down during ""high volume"" events, rather than used as an effective tool to deal with/prevent high volume car traffic.";no-preference;;;;;['Loss of trees/tree canopy', 'other'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];['Employed', 'Commuter'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];;;;;;everyday;;{'Near places with the highest number of jobs': '1', 'Near places with the greatest potential for redevelopment': '5', 'Near places with the highest number of residents (apartments, condominiums)': '2', 'Near places with the highest number of destinations (shopping, restaurants, services)': '3', 'Near places with a high number of community facilities (parks, churches, recreational)': '4'};;[];
;donotlive;"No! No! No!
DeKalb County is being milked and not receiving services. South DeKalb should have priority for light rail and/or upgraded services.";;Provide the needed services for the south end of DeKalb now! Paying too long for nothing....;"No! No! No!
DeKalb County is being milked and not receiving services. South DeKalb should have priority for light rail and/or upgraded services.";"No! No! No!
DeKalb County is being milked and not receiving services. South DeKalb should have priority for light rail and/or upgraded services.";"No! No! No!
DeKalb County is being milked and not receiving services. South DeKalb should have priority for light rail and/or upgraded services.";['other'];;['Commuter', 'Retiree', 'Not Employed'];;"No! No! No!
DeKalb County is being milked and not receiving services. South DeKalb should have priority for light rail and/or upgraded services.";;"No! No! No!
DeKalb County is being milked and not receiving services. South DeKalb should have priority for light rail and/or upgraded services.";"No! No! No!
DeKalb County is being milked and not receiving services. South DeKalb should have priority for light rail and/or upgraded services.";"No! No! No!
DeKalb County is being milked and not receiving services. South DeKalb should have priority for light rail and/or upgraded services.";sometimes;"No! No! No!
DeKalb County is being milked and not receiving services. South DeKalb should have priority for light rail and/or upgraded services.";;;[{'x': -84.3806407559619, 'y': 33.74989000675453}, {'x': -84.37755085117675, 'y': 33.750104103589706}, {'x': -84.37377430088378, 'y': 33.75067502587011}, {'x': -84.37064148075439, 'y': 33.75138867337502}, {'x': -84.3677232373462, 'y': 33.752316406251715}, {'x': -84.36411834843018, 'y': 33.75335117338734}, {'x': -84.3603417981372, 'y': 33.754350247047775}, {'x': -84.35665107853272, 'y': 33.75520658663341}, {'x': -84.35304618961672, 'y': 33.7569549200618}, {'x': -84.35154415256838, 'y': 33.75841778389926}, {'x': -84.37780834324217, 'y': 33.74703533120693}, {'x': -84.37403179294921, 'y': 33.746785542575225}, {'x': -84.36999775059081, 'y': 33.74696396310068}, {'x': -84.36656452305175, 'y': 33.746785542575225}, {'x': -84.36240173466065, 'y': 33.746856910829955}, {'x': -84.3587539304004, 'y': 33.74674985842559}, {'x': -84.3549344647632, 'y': 33.746535753215966}, {'x': -84.35231662876465, 'y': 33.747178067241244}, {'x': -84.34802509434101, 'y': 33.76034444452047}, {'x': -84.34210277683613, 'y': 33.761272080485796}, {'x': -84.3356654752004, 'y': 33.76230673952644}, {'x': -84.32944275028586, 'y': 33.76102233332888}, {'x': -84.32317711002707, 'y': 33.760522836831946}, {'x': -84.34755302555439, 'y': 33.74767764149054}, {'x': -84.34145904667257, 'y': 33.747641957712105}, {'x': -84.33412052280784, 'y': 33.747784692736744}, {'x': -84.32802654392601, 'y': 33.74732080303804}, {'x': -84.3228767026174, 'y': 33.7475705901107}, {'x': -84.31965805179966, 'y': 33.76255648294086}, {'x': -84.31570984012973, 'y': 33.76437602013765}, {'x': -84.31167579777133, 'y': 33.765196583097406}, {'x': -84.30721260197056, 'y': 33.76566037607758}, {'x': -84.30064655430213, 'y': 33.767907952656145}, {'x': -84.2953250516166, 'y': 33.77001277250569}, {'x': -84.31832767612823, 'y': 33.74699964716131}, {'x': -84.31094623691925, 'y': 33.74749922244991}, {'x': -84.30579639561066, 'y': 33.74699964716131}, {'x': -84.29931617863078, 'y': 33.74732080303807}, {'x': -84.29300762302775, 'y': 33.74685691083004}, {'x': -84.32800875866798, 'y': 33.741172481455465}, {'x': -84.32251688610945, 'y': 33.73577519009441}, {'x': -84.32101910268442, 'y': 33.72359543904502}, {'x': -84.3120324021341, 'y': 33.71695120990231}, {'x': -84.29722098826416, 'y': 33.715013212870545}, {'x': -84.28224315401366, 'y': 33.71293673893772}, {'x': -84.26926236433009, 'y': 33.71418262932317}, {'x': -84.25262032627396, 'y': 33.71722806305015}, {'x': -84.23264988060663, 'y': 33.71404419795083}, {'x': -84.08936193294352, 'y': 33.69978457134417}, {'x': -84.1023427226273, 'y': 33.70227671563487}, {'x': -84.11732055687781, 'y': 33.70116910487552}, {'x': -84.13496111721729, 'y': 33.70366120900153}, {'x': -84.15176957565397, 'y': 33.702553616093326}, {'x': -84.16674740990449, 'y': 33.70366120900153}, {'x': -84.15093747375116, 'y': 33.72110391338}, {'x': -84.1780639957827, 'y': 33.70227671563487}, {'x': -84.19121120584704, 'y': 33.70407655266027}, {'x': -84.20086358791959, 'y': 33.70656857243781}, {'x': -84.20985028846991, 'y': 33.710306466537965}, {'x': -84.219669090923, 'y': 33.71279830555679}, {'x': -84.20357696823253, 'y': 33.79381110933451, 'type': 'home'}, {'x': -84.30333605938107, 'y': 33.74428229701607, 'type': 'play'}, {'x': -84.32538262878911, 'y': 33.747580260339795, 'type': 'meet'}];
;donotlive;;cycle-track;Love the idea of a cycle track on Edgewood - this is one of the busiest bike streets in the city, and one of the most dangerous / frustrating to ride. Making a trip to downtown safe for riders of all abilities would have a huge impact on ridership in the city. And when it starts to rain... or you get a flat tire... those cyclists become streetcar riders.;;;;;['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];['Commuter', 'Employed'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];Support reduction of parking. ;;Love this!;;Love this!;sometimes;;{'Near places with the highest number of jobs': '2', 'Near places with the greatest potential for redevelopment': '5', 'Near places with the highest number of residents (apartments, condominiums)': '1', 'Near places with the highest number of destinations (shopping, restaurants, services)': '4', 'Near places with a high number of community facilities (parks, churches, recreational)': '3'};;[{'x': -84.371633227537, 'y': 33.75437343947319}, {'x': -84.3708822090128, 'y': 33.754641046440156}, {'x': -84.37300651855264, 'y': 33.75478376981431}, {'x': -84.37373607940495, 'y': 33.750751743044056}, {'x': -84.37270611114323, 'y': 33.75153675427043}, {'x': -84.37176197356997, 'y': 33.75260721254235}, {'x': -84.37201946563542, 'y': 33.7513940254911}, {'x': -84.38896029777408, 'y': 33.76270157160171, 'type': 'work'}, {'x': -84.360196288298, 'y': 33.76540856054911, 'type': 'play'}, {'x': -84.38890665359334, 'y': 33.76234033596826, 'type': 'meet'}];
;donotlive;;couplet;We need to look at innovative delievery models to decrease the construction time of BeltLine Rail. This includes looking at P3 models that have worked in other cities for more rapid delievery of light rail. Futhermore, the entire Streetcar needs to be a dedicated lane with better headways, 10 minutes during at least peak hours.;;None of the streetcar should be mixed in traffice. It needs its own seperate, dedicated lane.;;['Impact to pedestrian/cyclist experience on the BeltLine trail'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];['Commuter'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];None of the streetcar should be mixed in traffice. It needs its own seperate, dedicated lane.;;None of the streetcar should be mixed in traffice. It needs its own seperate, dedicated lane.;;None of the streetcar should be mixed in traffice. It needs its own seperate, dedicated lane.;sometimes;;{'Near places with the highest number of jobs': '2', 'Near places with the greatest potential for redevelopment': '5', 'Near places with the highest number of residents (apartments, condominiums)': '1', 'Near places with the highest number of destinations (shopping, restaurants, services)': '3', 'Near places with a high number of community facilities (parks, churches, recreational)': '4'};;[{'x': -84.37219159587562, 'y': 33.75428361411533}, {'x': -84.3698049530664, 'y': 33.754286103881455}, {'x': -84.37434221738818, 'y': 33.75436099296851}, {'x': -84.37437817804462, 'y': 33.75549785814621}, {'x': -84.37214720780467, 'y': 33.75544484069099}, {'x': -84.37090861200846, 'y': 33.746303421974446, 'type': 'meet'}, {'x': -84.36746756048665, 'y': 33.754437870042786, 'type': 'play'}];
;donotlive;Should maximize ease of getting places for the most pedestrians.;no-preference;The sooner we complete transit around the beltline the better.;Stop should not be named after Ladybird.;;;['other'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];['Commuter', 'Employed'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];;;;;Streetcar should be in its own lane the entire distance.  ;sometimes;;{'Near places with the highest number of jobs': '4', 'Near places with the highest number of residents (apartments, condominiums)': '2', 'Near places with the highest number of destinations (shopping, restaurants, services)': '1', 'Near places with a high number of community facilities (parks, churches, recreational)': '3'};;[{'x': -84.36488599297499, 'y': 33.757530838272864}, {'x': -84.36380097805578, 'y': 33.75350361111386}, {'x': -84.37217873739914, 'y': 33.754494768642196}, {'x': -84.35681670493939, 'y': 33.76724990713436, 'type': 'play'}, {'x': -84.36409085578778, 'y': 33.75736718928312, 'type': 'meet'}];
;donotlive;;no-preference;;;;;['Impact to pedestrian/cyclist experience on the BeltLine trail'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street', 'I do not support partial closures of existing streets to vehicular traffic'];['Employed'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street', 'I do not support partial closures of existing streets to vehicular traffic', 'other'];;The entire streetcar route should be free of cars.  And close the edgewood Interstate on ramps.;;;;sometimes;;{'Near places with the highest number of jobs': '4', 'Near places with the greatest potential for redevelopment': '5', 'Near places with the highest number of residents (apartments, condominiums)': '1', 'Near places with the highest number of destinations (shopping, restaurants, services)': '2', 'Near places with a high number of community facilities (parks, churches, recreational)': '3'};;[{'x': -84.36307670125349, 'y': 33.76777086230857, 'type': 'play'}, {'x': -84.36146436296934, 'y': 33.772312979473114, 'type': 'meet'}];
;morethanayear;;no-preference;I am looking for any and all transit with low impact on environment. my caution is around safety. and would like safety in mind with this project. safety of everything and everyone. I own property where I work in studioplex;;;;['Loss of trees/tree canopy', 'Impacts to current property values'];;['Commuter', 'Employed'];['Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street', 'Irwin Street, between Sampson Street and Krog Street'];;;;;;;;{'Near places with the highest number of jobs': 'Beltline /krog', 'Near places with the highest number of residents (apartments, condominiums)': 'beltline/krog', 'Near places with the highest number of destinations (shopping, restaurants, services)': 'beltline krog'};;[{'x': -84.32562797851413, 'y': 33.76282016213991}, {'x': -84.33283775634614, 'y': 33.763819125447014}, {'x': -84.34142082519378, 'y': 33.76467537044284}, {'x': -84.31773155517429, 'y': 33.765817017130004}, {'x': -84.31103676147313, 'y': 33.76738675649213}, {'x': -84.30279701537938, 'y': 33.76966996241603}, {'x': -84.36646192855699, 'y': 33.75607908529159, 'type': 'work'}, {'x': -84.31054323501445, 'y': 33.766782499431386, 'type': 'home'}];
;donotlive;;cycle-track;I had a difficult time with the interactive maps registering my inputs. Nearly every part of the first map is dangerous to people on foot, bikes, especially people with mobility challenges.  It was very difficult to understand the plan maps without really seeing them together or having a planner to translate the maps. We really need more in person meetings to answer questions and explain the designs.;;;;['Impact to pedestrian/cyclist experience on the BeltLine trail'];['Edgewood Avenue, between Hillard Street SE and Jackson Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Irwin Street, between Sampson Street and Krog Street'];['Commuter', 'Student', 'Employed'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];;;;;;sometimes;;{'Near places with the highest number of jobs': '3', 'Near places with the greatest potential for redevelopment': '5', 'Near places with the highest number of residents (apartments, condominiums)': '2', 'Near places with the highest number of destinations (shopping, restaurants, services)': '1', 'Near places with a high number of community facilities (parks, churches, recreational)': '4'};;[{'x': -84.37110751457071, 'y': 33.75985999602648}];
;morethanayear;;cycle-track;Making safe, quality, protected bike lanes (where ubers, the police, delivery trucks, etc. can't park!) should be a priority over lengthening existing unprotected bike lanes. No on rides on ponce in the bike lanes (at least I've never seen it) because it's a death sentence. ;Need enough safe room for pedestrians of all kinds on beltline;;;['Impact to pedestrian/cyclist experience on the BeltLine trail'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];['Commuter', 'Student'];['Edgewood Avenue, between Hillard Street SE and Jackson Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Irwin Street, between Sampson Street and Krog Street'];;;Safe turning for bikes across tracks?;;Can we remove cars from these roads, please? It feels very scary to commute here and it's hard for me to tell how protected the bike lane is in this picture;sometimes;Need enough safe room for pedestrians of all kinds on beltline;{'Near places with the highest number of jobs': '2', 'Near places with the greatest potential for redevelopment': '5', 'Near places with the highest number of residents (apartments, condominiums)': '1', 'Near places with the highest number of destinations (shopping, restaurants, services)': '4', 'Near places with a high number of community facilities (parks, churches, recreational)': '3'};;[{'x': -84.35904186580008, 'y': 33.754653980592316}, {'x': -84.3606554816957, 'y': 33.754653980592316}, {'x': -84.36223476845915, 'y': 33.75428289898131}, {'x': -84.36367672297781, 'y': 33.75439707861218}, {'x': -84.36628597538363, 'y': 33.75396890584571}, {'x': -84.36728161189383, 'y': 33.75316964451153}, {'x': -84.36892956216032, 'y': 33.752598738841264}, {'x': -84.37068050768136, 'y': 33.75219910217468}, {'x': -84.37239712145089, 'y': 33.75145691609655}, {'x': -84.37390774209194, 'y': 33.75117145803452}, {'x': -84.37576168286758, 'y': 33.75108581955944}, {'x': -84.37806194689033, 'y': 33.7505149000142}, {'x': -84.38015621516529, 'y': 33.750429261972336}, {'x': -84.3642260388602, 'y': 33.75485379343725}, {'x': -84.36426037061172, 'y': 33.75562449514037}, {'x': -84.36755627114472, 'y': 33.7954346450471}, {'x': -84.36724728014232, 'y': 33.79338038057931}, {'x': -84.36714428226843, 'y': 33.79149726135394}, {'x': -84.36728161189386, 'y': 33.78944290213283}, {'x': -84.3674189415193, 'y': 33.786104463403746}, {'x': -84.36824291665253, 'y': 33.7831939234157}, {'x': -84.36930721666576, 'y': 33.77959841353675}, {'x': -84.37057750980739, 'y': 33.77611690314579}, {'x': -84.37136715056978, 'y': 33.77274940671249}, {'x': -84.37191646645215, 'y': 33.76923907884593}, {'x': -84.37198513257454, 'y': 33.76555736030272}, {'x': -84.37215679395149, 'y': 33.762874457899684}, {'x': -84.37198513257455, 'y': 33.75876431710669}, {'x': -84.37229412357695, 'y': 33.755881392081456}, {'x': -84.37174480769455, 'y': 33.752684373355244}, {'x': -84.36930721666572, 'y': 33.7490590370427}, {'x': -84.37061184417828, 'y': 33.750686175569136}, {'x': -84.36529034149275, 'y': 33.74668964030045}, {'x': -84.3688608960379, 'y': 33.746860923767954}, {'x': -84.37122982356371, 'y': 33.74688947061628}, {'x': -84.37291210558172, 'y': 33.74760314962602}, {'x': -84.37517803523362, 'y': 33.74763169731626}, {'x': -84.37713497519283, 'y': 33.747945713658865}, {'x': -84.37861126408237, 'y': 33.74800280771279}, {'x': -84.37981289372104, 'y': 33.74751750867624}, {'x': -84.36350506160085, 'y': 33.74754605639499}, {'x': -84.36099880706894, 'y': 33.74728913202904}, {'x': -84.35832088854073, 'y': 33.74723203749997}, {'x': -84.35602062713728, 'y': 33.747374773206886}, {'x': -84.35378902661756, 'y': 33.74734622652011}, {'x': -84.35179775359717, 'y': 33.74777443235798}, {'x': -84.3810831881725, 'y': 33.755167781971}, {'x': -84.38324611995048, 'y': 33.75565303771015}, {'x': -84.38510006334545, 'y': 33.75539613763483}, {'x': -84.38630169298412, 'y': 33.75539613763483}, {'x': -84.38767498399974, 'y': 33.75545322672797}, {'x': -84.38317745644744, 'y': 33.77394802287767}, {'x': -84.383040126822, 'y': 33.776088366302325}, {'x': -84.38269680406809, 'y': 33.77891353708794}, {'x': -84.3825938061942, 'y': 33.781282044226565}, {'x': -84.38228481781115, 'y': 33.78373608962854}, {'x': -84.38218181993724, 'y': 33.78633273608734}, {'x': -84.38104885380163, 'y': 33.78185275829158}, {'x': -84.38324611995048, 'y': 33.782195184360866}, {'x': -84.3846880770885, 'y': 33.782509075717336}, {'x': -84.38698833849193, 'y': 33.78239493408328}, {'x': -84.38094585854707, 'y': 33.78045450085265}, {'x': -84.38139217655554, 'y': 33.77794328734811}, {'x': -84.38163250405488, 'y': 33.77488977817758}, {'x': -84.38152950618095, 'y': 33.77671619044767}, {'x': -84.38180416543182, 'y': 33.773148947841804}, {'x': -84.38609569985564, 'y': 33.772406942065395}, {'x': -84.38221615168877, 'y': 33.77175054669022}, {'x': -84.37888592202363, 'y': 33.771693469540544}, {'x': -84.3745943875998, 'y': 33.77157931294974}, {'x': -84.37040585104988, 'y': 33.771636392352825}, {'x': -84.39333980943923, 'y': 33.78228079066426}, {'x': -84.3897349205232, 'y': 33.78228079066426}, {'x': -84.39509075496025, 'y': 33.78225225614642}, {'x': -84.39752834598912, 'y': 33.782480540187}, {'x': -84.399725612138, 'y': 33.78262321719928}, {'x': -84.40161388728447, 'y': 33.78225225614642}, {'x': -84.40384548518487, 'y': 33.782366397970634}, {'x': -84.40545910239015, 'y': 33.782394933538995}, {'x': -84.40700405478273, 'y': 33.78233786293705}, {'x': -84.40793102778986, 'y': 33.78992796160586}, {'x': -84.40751903891358, 'y': 33.787274356311706}, {'x': -84.40772503204204, 'y': 33.784392391533075}, {'x': -84.4075533706651, 'y': 33.7819098286725}, {'x': -84.40762203678749, 'y': 33.780083529317835}, {'x': -84.40762203678749, 'y': 33.77768645354237}, {'x': -84.40717571615966, 'y': 33.77597421393457}, {'x': -84.4086520050492, 'y': 33.77431901880702}, {'x': -84.37885159158178, 'y': 33.78459213504227}, {'x': -84.37809628257094, 'y': 33.787274354134745}, {'x': -84.37517803916272, 'y': 33.79035595416095}, {'x': -84.37311810263928, 'y': 33.79332331457776}, {'x': -84.37140148886975, 'y': 33.79526345566208}, {'x': -84.36927288622394, 'y': 33.797260614013304}, {'x': -84.36776226558288, 'y': 33.80019920520089}, {'x': -84.36745327719984, 'y': 33.80179684358738}, {'x': -84.3715388184952, 'y': 33.80025626416995}, {'x': -84.37366742114101, 'y': 33.804221772452195}, {'x': -84.3755556962875, 'y': 33.80747392363948}, {'x': -84.3651530157964, 'y': 33.808358259155916}, {'x': -84.36158245863191, 'y': 33.8095278501202}, {'x': -84.35835522422133, 'y': 33.81072595040516}, {'x': -84.35557431043854, 'y': 33.81206666294259}, {'x': -84.3503558030076, 'y': 33.8040791314319}, {'x': -84.35069912576151, 'y': 33.80556258663885}, {'x': -84.35083645538694, 'y': 33.806817796499864}, {'x': -84.35032147125608, 'y': 33.80790182846619}, {'x': -84.35093945326084, 'y': 33.809071425941895}, {'x': -84.35169476227169, 'y': 33.81009837589884}, {'x': -84.35159176701714, 'y': 33.81149614920164}, {'x': -84.35114544638931, 'y': 33.813093576673936}, {'x': -84.35111111463779, 'y': 33.80299505212503}, {'x': -84.35190075540017, 'y': 33.80122626109568}, {'x': -84.35097378501236, 'y': 33.80031332228473}, {'x': -84.34990948499912, 'y': 33.799229195274506}, {'x': -84.33888882512267, 'y': 33.7913545953175}, {'x': -84.33923214787657, 'y': 33.79303799488344}, {'x': -84.3409487616461, 'y': 33.79309505889839}, {'x': -84.34314602517563, 'y': 33.79435045216183}, {'x': -84.33548992933513, 'y': 33.79044155121798}, {'x': -84.33301800393541, 'y': 33.78947143207784}, {'x': -84.33106106528588, 'y': 33.78844423378058}, {'x': -84.32965344251872, 'y': 33.78787356309795}, {'x': -84.34781521410491, 'y': 33.77688741228829}, {'x': -84.34544628657909, 'y': 33.778656705102804}, {'x': -84.34369534105802, 'y': 33.78159593566407}, {'x': -84.34242504529696, 'y': 33.78365048205852}, {'x': -84.34077709764983, 'y': 33.785961789470065}, {'x': -84.33916347913487, 'y': 33.78967116373976}, {'x': -84.33768719024532, 'y': 33.791754050069606}, {'x': -84.3363138992297, 'y': 33.793979543136906}, {'x': -84.3357302515958, 'y': 33.79717502227782}, {'x': -84.33720653786598, 'y': 33.80079832302282}, {'x': -84.33813351087313, 'y': 33.80390796246502}, {'x': -84.33555858759948, 'y': 33.807445399286436}, {'x': -84.33456295108928, 'y': 33.81006985296484}, {'x': -84.33415096483233, 'y': 33.81460540327947}, {'x': -84.33514660134254, 'y': 33.81954003695996}, {'x': -84.33064907117088, 'y': 33.81731520858241}, {'x': -84.32543056635926, 'y': 33.81654506081753}, {'x': -84.32048671817915, 'y': 33.81537556687657}, {'x': -84.34067409715655, 'y': 33.8150047482929}, {'x': -84.33655422410969, 'y': 33.81537556687657}, {'x': -84.34671657710143, 'y': 33.81745782753608}, {'x': -84.33397930083602, 'y': 33.804450001419504}, {'x': -84.33109538917934, 'y': 33.80185390445014}, {'x': -84.32615154361858, 'y': 33.801055089789536}, {'x': -84.3232676319619, 'y': 33.79837329916075}, {'x': -84.3213450250639, 'y': 33.795349050227365}, {'x': -84.32089870443608, 'y': 33.79121193635619}, {'x': -84.31746547689703, 'y': 33.790783947535814}, {'x': -84.31437557211187, 'y': 33.792524421629096}, {'x': -84.3111483377013, 'y': 33.79203937577767}, {'x': -84.3235079568419, 'y': 33.78867250427448}, {'x': -84.38316887285467, 'y': 33.751034080411344, 'type': 'work'}, {'x': -84.382688217856, 'y': 33.77774887788421, 'type': 'home'}, {'x': -84.37465446227142, 'y': 33.733333790653354, 'type': 'meet'}, {'x': -84.35666435206227, 'y': 33.768502384439174, 'type': 'play'}];
;donotlive;I'm concerned that the current route along the beltline is not efficient transit connectivity for the destinations along the route. For example, wouldn't PCM be better connected to MARTA through better  streetcar/bus service along North Ave;couplet;;;;;['Impact to pedestrian/cyclist experience on the BeltLine trail', 'Loss of trees/tree canopy', 'other'];['Edgewood Avenue, between Hillard Street SE and Jackson Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE'];['Employed'];['Edgewood Avenue, between Hillard Street SE and Jackson Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE'];;;;;;everyday;;{'Near places with the highest number of jobs': '3', 'Near places with the greatest potential for redevelopment': '5', 'Near places with the highest number of residents (apartments, condominiums)': '1', 'Near places with the highest number of destinations (shopping, restaurants, services)': '2', 'Near places with a high number of community facilities (parks, churches, recreational)': '4'};;[];
;morethanayear;;no-preference;Separating cyclists from cars on city streets has minimal value - the city has a connected street grid in this area, with many good, low traffic options for cyclists (including myself - I regularly commute by bike).  The real issue for bike separation is on the beltline itself, where a separate cycleways would protect pedestrians from bicycles, which cannot intermingle safely in the limited space available.;;;I object to the proposed safety barriers along all portions of the project.  The streetcar should operate at slow enough speeds that it can safely interface with pedestrians along the entire beltline.;['Loss of on-street parking', 'Impact to pedestrian/cyclist experience on the BeltLine trail'];['I do not support partial closures of existing streets to vehicular traffic'];['Employed'];['I do not support partial closures of existing streets to vehicular traffic'];;;I oppose cycle tracks that take public property for the benefit of cyclists: a small, wealthy, privileged, and vocal group, to the detriment of the rest of society.;;;sometimes;;{'Near places with the highest number of jobs': '2', 'Near places with the greatest potential for redevelopment': '5', 'Near places with the highest number of residents (apartments, condominiums)': '1', 'Near places with the highest number of destinations (shopping, restaurants, services)': '3', 'Near places with a high number of community facilities (parks, churches, recreational)': '4'};;[{'x': -84.36424934693581, 'y': 33.77314010738824}, {'x': -84.3643407897916, 'y': 33.773523194109615}, {'x': -84.3648138606292, 'y': 33.75760317420802}, {'x': -84.36888420673269, 'y': 33.7759985786704, 'type': 'home'}, {'x': -84.36460827967447, 'y': 33.76994061462308, 'type': 'play'}];
